code,name,city,country,timezone,lat,lng,terminal,gate
BBA,Balmaceda,Balmaceda,Chile,America/Santiago,-45.916058,-71.689475,,
SCQ,Santiago,Santiago,Spain,Europe/Madrid,42.896333,-8.415144,,
JRH,Jorhat,Jorhat,India,Asia/Kolkata,26.731528,94.175536,,
SCU,Antonio Maceo Intl,Santiago De Cuba,Cuba,America/Havana,19.969769,-75.835414,,
SCT,Socotra Intl,Socotra,Yemen,Asia/Aden,12.630672,53.905778,,
JRO,Kilimanjaro Intl,Kilimanjaro,Tanzania,Africa/Dar_es_Salaam,-3.429406,37.074461,,
SCW,Syktyvkar,Syktyvkar,Russia,Europe/Moscow,61.64705,50.84505,,
SCV,Stefan Cel Mare,Suceava,Romania,Europe/Bucharest,47.6875,26.354056,,
BBI,Bhubaneshwar,Bhubaneswar,India,Asia/Kolkata,20.244364,85.817781,,
SCY,San Cristóbal Airport,San Cristóbal,Ecuador,Pacific/Galapagos,-0.910206,-89.61745,,
SCX,Salina Cruz Naval Air Station,Salina Cruz,Mexico,America/Mexico_City,16.2126,-95.2016,,
BBK,Kasane,Kasane,Botswana,Africa/Gaborone,-17.832875,25.1624,,
BBO,Berbera,Berbera,Somalia,Africa/Mogadishu,10.389167,44.941106,,
BBN,Bario Airport,Bario,Malaysia,Asia/Kuching,3.73389,115.479,,
BBS,Blackbushe,Blackbushe,United Kingdom,Europe/London,51.323889,-0.8475,,
SDD,Lubango,Lubango,Angola,Africa/Luanda,-14.924733,13.575022,,
BBU,Aurel Vlaicu,Bucharest,Romania,Europe/Bucharest,44.503194,26.102111,,
SDF,Louisville International Airport,Louisville,United States,America/Kentucky/Louisville,38.1740858,-85.7364989,,
SDE,Santiago Del Estero,Santiago Del Estero,Argentina,America/Argentina/Catamarca,-27.765617,-64.310122,,
SDG,Sanandaj,Sanandaj,Iran,Asia/Tehran,35.245856,47.009247,,
SDJ,Sendai,Sendai,Japan,Asia/Tokyo,38.139722,140.916944,,
JSA,Jaisalmer,Jaisalmer,India,Asia/Kolkata,26.888653,70.864967,,
SDL,Sundsvall Harnosand,Sundsvall,Sweden,Europe/Stockholm,62.528125,17.443928,,
SDK,Sandakan,Sandakan,Malaysia,Asia/Kuching,5.900897,118.059486,,
SDN,Anda Airport,Sandane,Norway,Europe/Oslo,61.83,6.10583,,
SDP,Sand Point Airport,Sand Point,United States,America/Anchorage,55.315,-160.523,,
BCA,Gustavo Rizo,Baracoa Playa,Cuba,America/Havana,20.365317,-74.506206,,
JSI,Alexandros Papadiamantis,Skiathos,Greece,Europe/Athens,39.1771,23.503675,,
SDQ,Las Americas Intl,Santo Domingo,Dominican Republic,America/Santo_Domingo,18.429664,-69.668925,,
BCD,Bacolod,Bacolod,Philippines,Asia/Manila,10.642511,122.929617,,
SDT,Saidu Sharif,Saidu Sharif,Pakistan,Asia/Karachi,34.813556,72.352814,,
SDV,Sde Dov,Tel-aviv,Israel,Asia/Jerusalem,32.114661,34.782239,,
SDU,Santos Dumont,Rio De Janeiro,Brazil,America/Bahia,-22.910461,-43.163133,,
JSR,Jessore,Jessore,Bangladesh,Asia/Dhaka,23.1838,89.160833,,
SDY,Sidney-Richland Municipal Airport,Sidney,United States,America/Denver,47.706944,-104.1925,,
BCL,Barra del Colorado Airport,Pococi,Costa Rica,America/Costa_Rica,10.768736,-83.585614,,
BCN,Barcelona,Barcelona,Spain,Europe/Madrid,41.297078,2.078464,,
BCM,Bacau,Bacau,Romania,Europe/Bucharest,46.521946,26.910278,,
JSU,Maniitsoq Airport,Maniitsoq,Greenland,America/Godthab,65.4125,-52.9394,,
SEA,Seattle Tacoma Intl,Seattle,United States,America/Los_Angeles,47.449,-122.309306,,
SEB,Sebha,Sebha,Libya,Africa/Tripoli,26.986964,14.472525,,
SEN,Southend,Southend,United Kingdom,Europe/London,51.571389,0.695556,,
BDA,Bermuda Intl,Bermuda,Bermuda,Atlantic/Bermuda,32.364042,-64.678703,,
BDB,Bundaberg,Bundaberg,Australia,Australia/Brisbane,-24.903889,152.318611,,
BDD,Badu Island Airport,Badu Island,Australia,Australia/Lindeman,-10.15,141.175,,
SEW,,,,Africa/Cairo,0,0,,
BDH,Bandar Lengeh,Bandar Lengeh,Iran,Asia/Tehran,26.532,54.824847,,
BDJ,Syamsudin Noor,Banjarmasin,Indonesia,Asia/Makassar,-3.442356,114.762553,,
JTR,Santorini,Thira,Greece,Europe/Athens,36.399169,25.479333,,
SEZ,Seychelles Intl,Mahe,Seychelles,Indian/Mahe,-4.674342,55.521839,,
BDL,Bradley Intl,Windsor Locks,United States,America/New_York,41.938889,-72.683222,,
BDO,Husein Sastranegara,Bandung,Indonesia,Asia/Jakarta,-6.900625,107.576294,,
BDQ,Vadodara,Baroda,India,Asia/Kolkata,22.336164,73.226289,,
SFB,Orlando Sanford Intl,Sanford,United States,America/Kentucky/Monticello,28.777639,-81.237489,,
BDP,Chandragadhi Airport,Chandragarhi,Nepal,Asia/Kathmandu,26.570822,88.079578,,
SFA,Thyna,Sfax,Tunisia,Africa/Tunis,34.717953,10.690972,,
BDS,Casale,Brindisi,Italy,Europe/Rome,40.657633,17.947033,,
SFD,San Fernando De Apure,San Fernando De Apure,Venezuela,America/Caracas,7.883317,-67.444025,,
BDR,Igor I Sikorsky Mem,Stratford,United States,America/New_York,41.163472,-73.126167,,
SFG,Grand Case,St. Martin,Guadeloupe,America/Guadeloupe,18.099914,-63.047197,,
JUB,Juba,Juba,South Sudan,Africa/Khartoum,4.872006,31.601117,,
SFL,,,,Atlantic/Cape_Verde,0,0,,
SFN,Sauce Viejo,Santa Fe,Argentina,America/Argentina/Cordoba,-31.711666,-60.811668,,
SFO,San Francisco Intl,San Francisco,United States,America/Los_Angeles,37.618972,-122.374889,,
BEB,Benbecula,Benbecula,United Kingdom,Europe/London,57.481111,-7.362778,,
JUJ,Jujuy,Jujuy,Argentina,America/Argentina/Jujuy,-24.392778,-65.097778,,
JUL,Juliaca,Juliaca,Peru,America/Lima,-15.467103,-70.158169,,
SFT,Skelleftea,Skelleftea,Sweden,Europe/Stockholm,64.624772,21.076892,,
JUM,Jumla,Jumla,Nepal,Asia/Kathmandu,29.274167,82.193333,,
BEG,Beograd,Belgrade,Serbia,Europe/Belgrade,44.818444,20.309139,,
BEL,Val De Cans Intl,Belem,Brazil,America/Belem,-1.37925,-48.476292,,
BEN,Benina,Benghazi,Libya,Africa/Tripoli,32.096786,20.269472,,
JUV,Upernavik Airport,Upernavik,Greenland,America/Godthab,72.7902,-56.1306,,
JUZ,Quzhou Airport,Quzhou,China,Asia/Shanghai,28.9658,118.899,,
SGC,Surgut,Surgut,Russia,Asia/Yekaterinburg,61.343694,73.401842,,
BET,Bethel,Bethel,United States,America/Nome,60.779778,-161.838,,
BES,Guipavas,Brest,France,Europe/Paris,48.447911,-4.418539,,
SGD,Sonderborg,Soenderborg,Denmark,Europe/Copenhagen,54.964367,9.791731,,
BEU,Bedourie Airport,Bedourie,Australia,Australia/Broken_Hill,-24.3461,139.46,,
SGF,Springfield Branson Natl,Springfield,United States,America/Chicago,37.245667,-93.388639,,
JVA,Ankavandra Airport,Ankavandra,Madagascar,Indian/Antananarivo,-18.8,45.283,,
BEW,Beira,Beira,Mozambique,Africa/Maputo,-19.796419,34.907556,,
BEY,Rafic Hariri Intl,Beirut,Lebanon,Asia/Beirut,33.820931,35.488389,,
SGO,St George Airport,St George,Australia,Australia/Brisbane,-28.0497,148.595,,
SGN,Tansonnhat Intl,Ho Chi Minh City,Vietnam,Asia/Ho_Chi_Minh,10.818797,106.651856,,
BFF,Western Nebraska Regional Airport,Scottsbluff,United States,America/Denver,41.874,-103.596,,
BFI,Boeing Fld King Co Intl,Seattle,United States,America/Los_Angeles,47.53,-122.301947,,
SGY,Skagway Airport,Skagway,United States,America/Juneau,59.4601,-135.316,,
SGX,,,,Africa/Dar_es_Salaam,0,0,,
BFL,Meadows Fld,Bakersfield,United States,America/Los_Angeles,35.433598,-119.05677,,
SHB,Nakashibetsu,Nakashibetsu,Japan,Asia/Tokyo,43.5775,144.96,,
SHA,Hongqiao Intl,Shanghai,China,Asia/Shanghai,31.197875,121.336319,,
BFS,Belfast Intl,Belfast,United Kingdom,Europe/London,54.6575,-6.215833,,
SHC,Shire Inda Selassie Airport,Shire Indasilase,Ethiopia,Africa/Addis_Ababa,14.0781,38.2725,,
SHE,Shenyang Taoxian International Airport,Shenyang,China,Asia/Harbin,41.3824,123.2901,,
SHH,Shishmaref Airport,Shishmaref,United States,America/Nome,66.2496,-166.089,,
BFV,Buri Ram,Buri Ram,Thailand,Asia/Bangkok,15.229539,103.253231,,
SHG,Shungnak Airport,Shungnak,United States,America/Nome,66.888056,-157.1625,,
SHJ,Sharjah Intl,Sharjah,United Arab Emirates,Asia/Dubai,25.328575,55.51715,,
SHL,Shillong Airport,Shillong,India,Asia/Kolkata,25.7036,91.9787,,
SHP,Shanhaiguan Airport,Qinhuangdao,China,Asia/Harbin,39.9681,119.731,,
SHR,Sheridan County Airport,Sheridan,United States,America/Denver,44.7692,-106.98,,
BGA,Palonegro,Bucaramanga,Colombia,America/Bogota,7.1265,-73.184778,,
BGF,Bangui M Poko,Bangui,Central African Republic,Africa/Bangui,4.398475,18.518786,,
SHV,Shreveport Rgnl,Shreveport,United States,America/Chicago,32.446629,-93.8256,,
SHX,Shageluk Airport,Shageluk,United States,America/Nome,62.692222,-159.569167,,
SHW,Sharurah,Sharurah,Saudi Arabia,Asia/Riyadh,17.466875,47.121431,,
BGI,Grantley Adams Intl,Bridgetown,Barbados,America/Barbados,13.074603,-59.492456,,
SHY,Shinyanga Airport,Shinyanga,Tanzania,Africa/Dar_es_Salaam,-3.667,33.417,,
BGM,Greater Binghamton Edwin A Link Fld,Binghamton,United States,America/New_York,42.208689,-75.979839,,
SIA,Xi\'An Xiguan,Xi\'AN,China,Asia/Shanghai,34.3767,109.12,,
BGO,Flesland,Bergen,Norway,Europe/Oslo,60.293386,5.218142,,
BGR,Bangor Intl,Bangor,United States,America/New_York,44.807444,-68.828139,,
SIC,Sinop Airport,Sinop,Turkey,Europe/Istanbul,42.0158,35.0664,,
SID,Amilcar Cabral Intl,Amilcar Cabral,Cape Verde,Atlantic/Cape_Verde,16.741389,-22.949444,,
SIG,Fernando Luis Ribas Dominicci,San Juan,Puerto Rico,America/Puerto_Rico,18.456828,-66.098139,,
SIF,Simara,Simara,Nepal,Asia/Kathmandu,27.159456,84.980122,,
BGW,Baghdad International Airport,Baghdad,Iraq,Asia/Baghdad,33.262539,44.234578,,
BGY,Bergamo Orio Al Serio,Bergamo,Italy,Europe/Rome,45.673889,9.704166,,
SIN,Changi Intl,Singapore,Singapore,Asia/Singapore,1.350189,103.994433,,
SIP,Simferopol Intl,Simferopol,Ukraine,Europe/Simferopol,45.052222,33.975139,,
BHB,Hancock County - Bar Harbor,Bar Harbor,United States,America/New_York,44.4497689,-68.3615653,,
BHD,Belfast City,Belfast,United Kingdom,Europe/London,54.618056,-5.8725,,
SIT,Sitka Rocky Gutierrez,Sitka,United States,America/Juneau,57.047138,-135.361611,,
BHG,Brus Laguna Airport,Brus Laguna,Honduras,America/Tegucigalpa,15.7631,-84.5436,,
