iata	icao	airline	callsign	country	comments	active
1T	RNX	1Time Airline	NEXTIME	South Africa	airline defunct	0
Q5	MLA	40-Mile Air	MILE-AIR	United States		1
JY	IWY	Air Turks and Caicos	ISLANDWAYS	Turks and Caicos Islands	Name changed from Interisland Airways Limited	1
JU	ASL	Air Serbia	AIR SERBIA	Serbia	formally JAT	1
QH	LYN	Air Kyrgyzstan	ALTYN AVIA	Kyrgyzstan	Name changed from Kyrgyzstan	1
A8	XAU	Aerolink Uganda	PEARL	Uganda		1
RV	ROU	Air Canada Rouge	ROUGE	Canada		1
W9	AAB	Abelag Aviation	ABG	Belgium		1
6U	ACX	Air Cargo Germany	LOADMASTER	Germany	defunct	0
E4	RSO	Aero Asia International	AERO ASIA	Pakistan	defunct	0
ZI	AAF	Aigle Azur	AIGLE AZUR	France	Former name: Lucas Aigle Azur; former IATA code: LK	1
AE	AE	Air Ceylon		Sri Lanka	defunct	0
OZ	AAR	Asiana Airlines	ASIANA	Republic of Korea		1
4K	AAS	Askari Aviation	AL-ASS	Pakistan		1
8U	AAW	Afriqiyah Airways	AFRIQIYAH	Libya		1
Q9	AFU	Afrinat International Airlines	AFRINAT	Gambia	defunct, ICAO code no longer allocated	0
KI	AAG	Air Atlantique	ATLANTIC	United Kingdom	Former name: Atlantic Air Transport; former IATA codes: 7M, DG, transferred to Atlantic Flight Training in 2014.	1
QB	AAJ	Air Alma	AIR ALMA	Canada	Ceased operations 10/01/2002; former IATA code: 4L	0
LD	AHK	Air Hong Kong	AIR HONG KONG	Hong Kong		1
UX	AEA	Air Europa	EUROPA	Spain		1
I9	AEY	Air Italy	AIR ITALY	Italy	merged into Meridiana	1
NX	AMU	Air Macau	AIR MACAO	Macao		1
ZV	AMW	Air Midwest	AIR MIDWEST	United States	defunct	0
HM	SEY	Air Seychelles	SEYCHELLES	Seychelles		1
AF	AFR	Air France	AIRFRANS	France		1
SB	ACI	Air Caledonie International	AIRCALIN	France		1
EH	AKX	Air Nippon Network Co. Ltd.	ALFA WING	Japan		1
ZW	AWI	Air Wisconsin	AIR WISCONSIN	United States		1
GN	AGN	Air Gabon	GOLF NOVEMBER	Gabon	defunct	0
